,ss_id,init_time,step,generation,pv_datetime,pv_hour,hour,lat,long,tilt,orientation,dlwrf,dswrf,duvrs,hcc,lcc,mcc,sde,sr,t2m,tcc,u10,u100,v10,v100
0,7910.0,2021-10-01 12:00:00,0 days 00:00:00,0.0,2021-10-01 02:00:00,2.0,1.0,50.54,-3.62,40.0,130.0,0.0,0.0,0.0,0.0,0.08178711,0.032196045,0.0,0.0,288.03198,0.09378052,3.9917917,5.481739,-2.940549,-3.9402723
1,7910.0,2021-10-01 12:00:00,0 days 01:00:00,0.0,2021-10-01 03:00:00,3.0,2.0,50.54,-3.62,40.0,130.0,1056354.0,2005961.2,216087.6,0.0,0.06842041,0.0027160645,0.0,2874176.0,288.58887,0.069186434,4.463814,6.0450087,-2.5501814,-3.3859262
2,7910.0,2021-10-01 12:00:00,0 days 02:00:00,0.0,2021-10-01 04:00:00,4.0,3.0,50.54,-3.62,40.0,130.0,2095037.0,3950268.2,418944.28,0.0,0.042419434,0.08270264,0.0,5882880.0,288.4077,0.099243164,4.78391,6.5043116,-2.3759766,-3.1921196
3,7910.0,2021-10-01 12:00:00,0 days 03:00:00,0.0,2021-10-01 05:00:00,5.0,4.0,50.54,-3.62,40.0,130.0,3139474.0,5510241.0,579456.6,0.0,0.00061035156,0.006958008,0.0,8620288.0,288.08203,0.007293956,4.366065,5.9403934,-1.2918415,-1.7900476
4,7910.0,2021-10-01 12:00:00,0 days 04:00:00,0.0,2021-10-01 06:00:00,6.0,5.0,50.54,-3.62,40.0,130.0,4172483.0,6628636.5,689086.2,0.0,0.010437012,0.011352539,0.0,11098624.0,287.56104,0.01473999,4.1774235,5.8854437,-0.6101465,-0.9259968
5,7910.0,2021-10-01 12:00:00,0 days 05:00:00,0.0,2021-10-01 07:00:00,7.0,6.0,50.54,-3.62,40.0,130.0,5201513.0,7202484.0,743095.7,0.22146606,0.0019226074,0.0284729,0.0,12945408.0,286.469,0.24353027,2.9553604,5.358616,0.089426994,-0.090260506
6,7910.0,2021-10-01 12:00:00,0 days 06:00:00,77.96652,2021-10-01 08:00:00,8.0,7.0,50.54,-3.62,40.0,130.0,6224390.0,7306846.5,754297.94,0.24926758,0.00039672852,0.008178711,0.0,13608192.0,284.58252,0.25564575,2.19452,5.320504,0.6552763,0.92454624
7,7910.0,2021-10-01 12:00:00,0 days 07:00:00,1304.22,2021-10-01 09:00:00,9.0,8.0,50.54,-3.62,40.0,130.0,7226923.0,7306846.5,754297.94,0.1331482,0.006134033,0.020751953,0.0,13608192.0,283.5393,0.15258789,2.201354,5.556754,1.0947132,1.9043427
8,7910.0,2021-10-01 12:00:00,0 days 08:00:00,112.80204,2021-10-01 10:00:00,10.0,9.0,50.54,-3.62,40.0,130.0,8218756.0,7306846.5,754297.94,0.019683838,0.026641846,0.071624756,0.0,13608192.0,282.91113,0.09350586,2.3429327,5.8244495,1.1613989,2.2329426
9,7910.0,2021-10-01 12:00:00,0 days 09:00:00,341.5632,2021-10-01 11:00:00,11.0,10.0,50.54,-3.62,40.0,130.0,9220123.0,7306846.5,754297.94,0.11480713,0.06109619,0.15444946,0.0,13608192.0,282.72192,0.25805664,2.381565,5.8540077,1.2583389,2.5454226
10,7910.0,2021-10-01 12:00:00,0 days 10:00:00,1304.208,2021-10-01 12:00:00,12.0,11.0,50.54,-3.62,40.0,130.0,10245128.0,7306846.5,754297.94,0.49102783,0.091552734,0.18084717,0.0,13608192.0,282.64746,0.58877563,2.2554789,5.452444,1.3398266,3.0052843
11,7910.0,2021-10-01 12:00:00,0 days 11:00:00,1092.4812,2021-10-01 13:00:00,13.0,12.0,50.54,-3.62,40.0,130.0,11264099.0,7306846.5,754297.94,0.9878845,0.17764282,0.2503357,0.0,13608192.0,282.386,0.99069214,1.8295641,4.70512,1.5386333,3.7413416
12,7910.0,2021-10-01 12:00:00,0 days 12:00:00,1032.5664,2021-10-01 14:00:00,14.0,13.0,50.54,-3.62,40.0,130.0,12371618.0,7306846.5,754297.94,1.0,0.08087158,0.41918945,0.0,13608192.0,283.03394,1.0,1.2325535,3.7595663,1.6796865,4.0660467
13,7910.0,2021-10-01 12:00:00,0 days 13:00:00,480.1512,2021-10-01 15:00:00,15.0,14.0,50.54,-3.62,40.0,130.0,13523536.0,7306846.5,754297.94,1.0,0.3463745,0.5493469,0.0,13608192.0,283.9646,1.0,1.0490856,3.0654984,2.3519545,5.2766523
14,7910.0,2021-10-01 12:00:00,0 days 14:00:00,60.01584,2021-10-01 16:00:00,16.0,15.0,50.54,-3.62,40.0,130.0,14702407.0,7306846.5,754297.94,1.0,0.13552856,0.95474243,0.0,13608192.0,285.10547,1.0,1.5005627,3.2753887,3.8419428,6.8518763
15,7910.0,2021-10-01 12:00:00,0 days 15:00:00,3.66498e-05,2021-10-01 17:00:00,17.0,16.0,50.54,-3.62,40.0,130.0,15904301.0,7306846.5,754297.94,0.9999695,0.01876831,0.9868164,0.0,13608192.0,285.34253,0.9999903,1.2573757,2.7946262,3.959981,6.8931026
16,7910.0,2021-10-01 12:00:00,0 days 16:00:00,0.0,2021-10-01 18:00:00,18.0,17.0,50.54,-3.62,40.0,130.0,17118324.0,7306846.5,754297.94,0.9999695,0.45352173,0.9998779,0.0,13608192.0,285.34546,1.0000018,1.1712551,2.1843596,5.0956774,8.398881
17,7910.0,2021-10-01 12:00:00,0 days 17:00:00,0.0,2021-10-01 19:00:00,19.0,18.0,50.54,-3.62,40.0,130.0,18379400.0,7306846.5,754297.94,1.0,0.93670654,0.9996338,0.0,13608192.0,285.03857,1.0000006,1.506712,2.5734568,6.1810226,9.71198
